1. Wreck-it-Ralph: Ralph Breaks the Internet,PG,112 Minutes,When video-game bad guy Ralph and best friend Vanellope find a way onto the Internet, they set of on a mission to save her broken game.
2. The Bee Movie,PG,91 Minutes,Worker bee Barry, stuck in a dead-end job, sues humans after discovering they have been using bees for their honey all along. Ya like jazz?
3. Chicken Little,G,82 Minutes,No one believes Chicken Little when he tries to warn of an alien invasion--so it's up to him and his mis-fit friends to save the world! 
4. Frozen II,PG,104 Minutes,Together with Anna, Kristoff, Olaf and Sven, Elsa faces a dangerous adventure away from Arendelle, into the unknown, to find answers about the past.
5. Onward,PG,102 Minutes,Elf brothers Ian and Barley embark on a quest to save their dad, who is only his bottom-half after a spell to bring him back from the dead.
