1. My Big Fat Greek Wedding,PG,95 Minutes,A young Greek woman falls in love with a non-Greek and struggles to get her family to accept him while she comes to terms with her heritage and cultural identity.
2. The Proposal,PG-13,108 Minutes,A pushy boss forces her young assistant to marry her in order to keep her visa status in the U.S. and avoid deportation to Canada.
3. Pretty Woman,R,125 Minutes,A man in a legal but hurtful business needs an escort for some social events, and hires a beautiful prostitute he meets... only to fall in love.
4. The Fault in Our Stars,PG-13,126 Minutes,Two teenage cancer patients begin a life-affirming journey to visit a reclusive author in Amsterdam.
5. Crazy Rich Asians,PG-13,120 Minutes,This contemporary romantic comedy, based on a global bestseller, follows native New Yorker Rachel Chu to Singapore to meet her boyfriend's family.
