1. Halo Wars 2,T,2017,After spending decades in cryogenic sleep, the crew of the Spirit of Fire wake to find themselves on a Forerunner installation known as the Ark. But they are not alone.
2. Stellaris Xbox Edition,T,2016,Explore a vast galaxy full of wonder. Paradox Development Studio, makers of the Crusader Kings and Europa Universalis series presents Stellaris, an evolution of the grand strategy genre.
3. Age of Wonders: Planetfall,T,2019,Age of Wonders: Planetfall is the new strategy game from Triumph Studios, creators of the critically acclaimed Age of Wonders series, bringing all the exciting tactical turn-based combat.
