1. Resident Evil 3: Nemesis Remastered,M,2020,Jill Valentine must escape Racoon city amid the nightmarish T-Virus outbreak, all while being persued by the relentless bio-weapon Nemesis.
2. The Evil Within 2,M,2017,Three years after the events at Beacon Mental Hospital, Sebastian Castellanos has left the Krimson City Police Department, but the mysterious organization MOBIUS gives him a chance to save his own thought-dead daughter.
3. Outlast 2,M,2017,Investigative Journalists Blake and his wife Lynn, travel to the Arizona Desert to pursue a lead on a popular suicide, but are soon ambushed by a mysterious and terrifying cult.
