1. Forza: Horizon 4,E,2017,Experience a shared world with dynamic seasons. Explore beautiful scenery, collect over 450 cars and become a Horizon Superstar in historic Britain.
2. The Crew 2,T,2018,Take on the American motorsports scene as you explore and dominate the entire USA with a wide variety of cars, bikes, boats, and planes.
3. Forza Motorsport 7,E,2017,Forza 7 has over 700 cars, with more than 200 different configurations to race on across 32 locations, and introduces dynamic weather and customizable drivers.
