1. Halo: The Master Chief Collection,M,2014,The epic saga of the Master Chief, together for the first time on the same console. Including the 4 Main Halo Titles and Halo 3: ODST and Halo: Reach.
2. Call of Duty: Modern Warfare Remastered,M,2019,Join Captain Price and the SAS in the remastered Campaign of Modern Warfare, in an attempt to stop a terrorist attack on London.
3. Grand Theft Auto 5,M,2013,Enter the sprawling world of Los Santos, play the epic story mode with Michael, Trevor and Franklin, or join the GTA Online mode and play with friends.
